|LJ001-0001|Printing, in the only sense with which we are at present concerned, differs from most if not from all the arts and crafts represented in the Exhibition|Printing, in the only sense with which we are at present concerned, differs from most if not from all the arts and crafts represented in the Exhibition.1
0|LJ001-0002|in being comparatively modern.|in being comparatively modern.
1|LJ001-0003|For although the Chinese took impressions from wood blocks engraved in relief for centuries before the woodcutters of the Netherlands, by a similar process|For although the Chinese took impressions from wood blocks engraved in relief for centuries before the woodcutters of the Netherlands, by a similar process
2|LJ001-0004|produced the block books, which were the immediate predecessors of the true printed book,|produced the block books, which were the immediate predecessors of the true printed book,
3|LJ001-0005|the invention of movable metal letters in the middle of the fifteenth century may justly be considered as the invention of the art of printing.|the invention of movable metal letters in the middle of the fifteenth century may justly be considered as the invention of the art of printing.
4|LJ001-0006|And it is worth mention in passing that, as an example of fine typography,|And it is worth mention in passing that, as an example of fine typography,
5|LJ001-0007|"the earliest book printed with movable types, the Gutenberg, or ""forty-two line Bible"" of about 1455,"|"the earliest book printed with movable types, the Gutenberg, or ""forty-two line Bible"" of about fourteen fifty-five,"
6|LJ001-0008|has never been surpassed.|has never been surpassed.
7|LJ001-0009|Printing, then, for our purpose, may be considered as the art of making books by means of movable types.|Printing, then, for our purpose, may be considered as the art of making books by means of movable types.
8|LJ001-0010|Now, as all books not primarily intended as picture-books consist principally of types composed to form letterpress,|Now, as all books not primarily intended as picture-books consist principally of types composed to form letterpress,
9|LJ001-0011|it is of the first importance that the letter used should be fine in form;|it is of the first importance that the letter used should be fine in form;
10|LJ001-0012|especially as no more time is occupied, or cost incurred, in casting, setting, or printing beautiful letters|especially as no more time is occupied, or cost incurred, in casting, setting, or printing beautiful letters
11|LJ001-0013|than in the same operations with ugly ones.|than in the same operations with ugly ones.
12|LJ001-0014|And it was a matter of course that in the Middle Ages, when the craftsmen took care that beautiful form should always be a part of their productions whatever they were,|And it was a matter of course that in the Middle Ages, when the craftsmen took care that beautiful form should always be a part of their productions whatever they were,
13|LJ001-0015|the forms of printed letters should be beautiful, and that their arrangement on the page should be reasonable and a help to the shapeliness of the letters themselves.|the forms of printed letters should be beautiful, and that their arrangement on the page should be reasonable and a help to the shapeliness of the letters themselves.
14|LJ001-0016|The Middle Ages brought calligraphy to perfection, and it was natural therefore|The Middle Ages brought calligraphy to perfection, and it was natural therefore
15|LJ001-0017|that the forms of printed letters should follow more or less closely those of the written character, and they followed them very closely.|that the forms of printed letters should follow more or less closely those of the written character, and they followed them very closely.
16|LJ001-0018|The first books were printed in black letter, i.e. the letter which was a Gothic development of the ancient Roman character,|The first books were printed in black letter, i.e. the letter which was a Gothic development of the ancient Roman character,
17|LJ001-0019|"and which developed more completely and satisfactorily on the side of the ""lower-case"" than the capital letters;"|"and which developed more completely and satisfactorily on the side of the ""lower-case"" than the capital letters;"
18|LJ001-0020|"the ""lower-case"" being in fact invented in the early Middle Ages."|"the ""lower-case"" being in fact invented in the early Middle Ages."
19|LJ001-0021|The earliest book printed with movable type, the aforesaid Gutenberg Bible, is printed in letters which are an exact imitation|The earliest book printed with movable type, the aforesaid Gutenberg Bible, is printed in letters which are an exact imitation
20|LJ001-0022|"of the more formal ecclesiastical writing which obtained at that time; this has since been called ""missal type,"""|"of the more formal ecclesiastical writing which obtained at that time; this has since been called ""missal type,"""
21|LJ001-0023|and was in fact the kind of letter used in the many splendid missals, psalters, etc., produced by printing in the fifteenth century.|and was in fact the kind of letter used in the many splendid missals, psalters, etc., produced by printing in the fifteenth century.
22|LJ001-0024|But the first Bible actually dated (which also was printed at Maintz by Peter Schoeffer in the year 1462)|But the first Bible actually dated (which also was printed at Maintz by Peter Schoeffer in the year fourteen sixty-two)
23|LJ001-0025|imitates a much freer hand, simpler, rounder, and less spiky, and therefore far pleasanter and easier to read.|imitates a much freer hand, simpler, rounder, and less spiky, and therefore far pleasanter and easier to read.
24|LJ001-0026|On the whole the type of this book may be considered the ne-plus-ultra of Gothic type,|On the whole the type of this book may be considered the ne-plus-ultra of Gothic type,
25|LJ001-0027|especially as regards the lower-case letters; and type very similar was used during the next fifteen or twenty years not only by Schoeffer,|especially as regards the lower-case letters; and type very similar was used during the next fifteen or twenty years not only by Schoeffer,
26|LJ001-0028|but by printers in Strasburg, Basle, Paris, Lubeck, and other cities.|but by printers in Strasburg, Basle, Paris, Lubeck, and other cities.
27|LJ001-0029|But though on the whole, except in Italy, Gothic letter was most often used|But though on the whole, except in Italy, Gothic letter was most often used
28|LJ001-0030|a very few years saw the birth of Roman character not only in Italy, but in Germany and France.|a very few years saw the birth of Roman character not only in Italy, but in Germany and France.
29|LJ001-0031|In 1465 Sweynheim and Pannartz began printing in the monastery of Subiaco near Rome,|In fourteen sixty-five Sweynheim and Pannartz began printing in the monastery of Subiaco near Rome,
30|LJ001-0032|and used an exceedingly beautiful type, which is indeed to look at a transition between Gothic and Roman,|and used an exceedingly beautiful type, which is indeed to look at a transition between Gothic and Roman,
31|LJ001-0033|but which must certainly have come from the study of the twelfth or even the eleventh century MSS.|but which must certainly have come from the study of the twelfth or even the eleventh century MSS.
32|LJ001-0034|They printed very few books in this type, three only; but in their very first books in Rome, beginning with the year 1468,|They printed very few books in this type, three only; but in their very first books in Rome, beginning with the year fourteen sixty-eight,
33|LJ001-0035|they discarded this for a more completely Roman and far less beautiful letter.|they discarded this for a more completely Roman and far less beautiful letter.
34|LJ001-0036|But about the same year Mentelin at Strasburg began to print in a type which is distinctly Roman;|But about the same year Mentelin at Strasburg began to print in a type which is distinctly Roman;
35|LJ001-0037|and the next year Gunther Zeiner at Augsburg followed suit;|and the next year Gunther Zeiner at Augsburg followed suit;
36|LJ001-0038|while in 1470 at Paris Udalric Gering and his associates turned out the first books printed in France, also in Roman character.|while in fourteen seventy at Paris Udalric Gering and his associates turned out the first books printed in France, also in Roman character.
37|LJ001-0039|The Roman type of all these printers is similar in character,|The Roman type of all these printers is similar in character,
38|LJ001-0040|and is very simple and legible, and unaffectedly designed for use; but it is by no means without beauty.|and is very simple and legible, and unaffectedly designed for use; but it is by no means without beauty.
39|LJ001-0041|It must be said that it is in no way like the transition type of Subiaco,|It must be said that it is in no way like the transition type of Subiaco,
40|LJ001-0042|and though more Roman than that, yet scarcely more like the complete Roman type of the earliest printers of Rome.|and though more Roman than that, yet scarcely more like the complete Roman type of the earliest printers of Rome.
41|LJ001-0043|A further development of the Roman letter took place at Venice.|A further development of the Roman letter took place at Venice.
42|LJ001-0044|John of Spires and his brother Vindelin, followed by Nicholas Jenson, began to print in that city,|John of Spires and his brother Vindelin, followed by Nicholas Jenson, began to print in that city,
43|LJ001-0045|1469, 1470;|fourteen sixty-nine, fourteen seventy;
44|LJ001-0046|their type is on the lines of the German and French rather than of the Roman printers.|their type is on the lines of the German and French rather than of the Roman printers.
45|LJ001-0047|Of Jenson it must be said that he carried the development of Roman type as far as it can go:|Of Jenson it must be said that he carried the development of Roman type as far as it can go:
46|LJ001-0048|his letter is admirably clear and regular, but at least as beautiful as any other Roman type.|his letter is admirably clear and regular, but at least as beautiful as any other Roman type.
47|LJ001-0049|"After his death in the ""fourteen eighties,"" or at least by 1490, printing in Venice had declined very much;"|"After his death in the ""fourteen eighties,"" or at least by fourteen ninety, printing in Venice had declined very much;"
48|LJ001-0050|and though the famous family of Aldus restored its technical excellence, rejecting battered letters,|and though the famous family of Aldus restored its technical excellence, rejecting battered letters,
49|LJ001-0051|"and paying great attention to the ""press work"" or actual process of printing,"|"and paying great attention to the ""press work"" or actual process of printing,"
50|LJ001-0052|yet their type is artistically on a much lower level than Jenson's, and in fact|yet their type is artistically on a much lower level than Jenson's, and in fact
51|LJ001-0053|they must be considered to have ended the age of fine printing in Italy.|they must be considered to have ended the age of fine printing in Italy.
52|LJ001-0054|Jenson, however, had many contemporaries who used beautiful type,|Jenson, however, had many contemporaries who used beautiful type,
53|LJ001-0055|some of which -- as, e.g., that of Jacobus Rubeus or Jacques le Rouge -- is scarcely distinguishable from his.|some of which -- as, e.g., that of Jacobus Rubeus or Jacques le Rouge -- is scarcely distinguishable from his.
54|LJ001-0056|It was these great Venetian printers, together with their brethren of Rome, Milan,|It was these great Venetian printers, together with their brethren of Rome, Milan,
55|LJ001-0057|Parma, and one or two other cities, who produced the splendid editions of the Classics, which are one of the great glories of the printer's art,|Parma, and one or two other cities, who produced the splendid editions of the Classics, which are one of the great glories of the printer's art,
56|LJ001-0058|and are worthy representatives of the eager enthusiasm for the revived learning of that epoch. By far,|and are worthy representatives of the eager enthusiasm for the revived learning of that epoch. By far,
57|LJ001-0059|the greater part of these Italian printers, it should be mentioned, were Germans or Frenchmen, working under the influence of Italian opinion and aims.|the greater part of these Italian printers, it should be mentioned, were Germans or Frenchmen, working under the influence of Italian opinion and aims.
58|LJ001-0060|It must be understood that through the whole of the fifteenth and the first quarter of the sixteenth centuries|It must be understood that through the whole of the fifteenth and the first quarter of the sixteenth centuries
59|LJ001-0061|the Roman letter was used side by side with the Gothic.|the Roman letter was used side by side with the Gothic.
60|LJ001-0062|Even in Italy most of the theological and law books were printed in Gothic letter,|Even in Italy most of the theological and law books were printed in Gothic letter,
61|LJ001-0063|which was generally more formally Gothic than the printing of the German workmen,|which was generally more formally Gothic than the printing of the German workmen,
62|LJ001-0064|many of whose types, indeed, like that of the Subiaco works, are of a transitional character.|many of whose types, indeed, like that of the Subiaco works, are of a transitional character.
63|LJ001-0065|This was notably the case with the early works printed at Ulm, and in a somewhat lesser degree at Augsburg.|This was notably the case with the early works printed at Ulm, and in a somewhat lesser degree at Augsburg.
64|LJ001-0066|In fact Gunther Zeiner's first type (afterwards used by Schussler) is remarkably like the type of the before-mentioned Subiaco books.|In fact Gunther Zeiner's first type (afterwards used by Schussler) is remarkably like the type of the before-mentioned Subiaco books.
65|LJ001-0067|In the Low Countries and Cologne, which were very fertile of printed books, Gothic was the favorite.|In the Low Countries and Cologne, which were very fertile of printed books, Gothic was the favorite.
66|LJ001-0068|The characteristic Dutch type, as represented by the excellent printer Gerard Leew, is very pronounced and uncompromising Gothic.|The characteristic Dutch type, as represented by the excellent printer Gerard Leew, is very pronounced and uncompromising Gothic.
67|LJ001-0069|This type was introduced into England by Wynkyn de Worde, Caxton's successor,|This type was introduced into England by Wynkyn de Worde, Caxton's successor,
68|LJ001-0070|and was used there with very little variation all through the sixteenth and seventeenth centuries, and indeed into the eighteenth.|and was used there with very little variation all through the sixteenth and seventeenth centuries, and indeed into the eighteenth.
69|LJ001-0071|Most of Caxton's own types are of an earlier character, though they also much resemble Flemish or Cologne letter.|Most of Caxton's own types are of an earlier character, though they also much resemble Flemish or Cologne letter.
70|LJ001-0072|After the end of the fifteenth century the degradation of printing, especially in Germany and Italy,|After the end of the fifteenth century the degradation of printing, especially in Germany and Italy,
71|LJ001-0073|went on apace; and by the end of the sixteenth century there was no really beautiful printing done:|went on apace; and by the end of the sixteenth century there was no really beautiful printing done:
72|LJ001-0074|the best, mostly French or Low-Country, was neat and clear, but without any distinction;|the best, mostly French or Low-Country, was neat and clear, but without any distinction;
73|LJ001-0075|the worst, which perhaps was the English, was a terrible falling-off from the work of the earlier presses;|the worst, which perhaps was the English, was a terrible falling-off from the work of the earlier presses;
74|LJ001-0076|and things got worse and worse through the whole of the seventeenth century, so that in the eighteenth printing was very miserably performed.|and things got worse and worse through the whole of the seventeenth century, so that in the eighteenth printing was very miserably performed.
75|LJ001-0077|In England about this time, an attempt was made (notably by Caslon, who started business in London as a type-founder in 1720)|In England about this time, an attempt was made (notably by Caslon, who started business in London as a type-founder in seventeen twenty)
76|LJ001-0078|to improve the letter in form.|to improve the letter in form.
77|LJ001-0079|Caslon's type is clear and neat, and fairly well designed;|Caslon's type is clear and neat, and fairly well designed;
78|LJ001-0080|he seems to have taken the letter of the Elzevirs of the seventeenth century for his model:|he seems to have taken the letter of the Elzevirs of the seventeenth century for his model:
79|LJ001-0081|type cast from his matrices is still in everyday use.|type cast from his matrices is still in everyday use.
80|LJ001-0082|In spite, however, of his praiseworthy efforts, printing had still one last degradation to undergo.|In spite, however, of his praiseworthy efforts, printing had still one last degradation to undergo.
81|LJ001-0083|The seventeenth century founts were bad rather negatively than positively.|The seventeenth century founts were bad rather negatively than positively.
82|LJ001-0084|But for the beauty of the earlier work they might have seemed tolerable.|But for the beauty of the earlier work they might have seemed tolerable.
83|LJ001-0085|It was reserved for the founders of the later eighteenth century to produce letters which are positively ugly, and which, it may be added,|It was reserved for the founders of the later eighteenth century to produce letters which are positively ugly, and which, it may be added,
84|LJ001-0086|are dazzling and unpleasant to the eye owing to the clumsy thickening and vulgar thinning of the lines:|are dazzling and unpleasant to the eye owing to the clumsy thickening and vulgar thinning of the lines:
85|LJ001-0087|for the seventeenth-century letters are at least pure and simple in line. The Italian, Bodoni, and the Frenchman, Didot,|for the seventeenth-century letters are at least pure and simple in line. The Italian, Bodoni, and the Frenchman, Didot,
86|LJ001-0088|were the leaders in this luckless change, though our own Baskerville, who was at work some years before them, went much on the same lines;|were the leaders in this luckless change, though our own Baskerville, who was at work some years before them, went much on the same lines;
87|LJ001-0089|but his letters, though uninteresting and poor, are not nearly so gross and vulgar as those of either the Italian or the Frenchman.|but his letters, though uninteresting and poor, are not nearly so gross and vulgar as those of either the Italian or the Frenchman.
88|LJ001-0090|With this change the art of printing touched bottom,|With this change the art of printing touched bottom,
89|LJ001-0091|so far as fine printing is concerned, though paper did not get to its worst till about 1840.|so far as fine printing is concerned, though paper did not get to its worst till about eighteen forty.
90|LJ001-0092|The Chiswick press in 1844 revived Caslon's founts, printing for Messrs. Longman the Diary of Lady Willoughby.|The Chiswick press in eighteen forty-four revived Caslon's founts, printing for Messrs. Longman the Diary of Lady Willoughby.
91|LJ001-0093|This experiment was so far successful that about 1850 Messrs. Miller and Richard of Edinburgh|This experiment was so far successful that about eighteen fifty Messrs. Miller and Richard of Edinburgh
92|LJ001-0094|"were induced to cut punches for a series of ""old style"" letters."|"were induced to cut punches for a series of ""old style"" letters."
93|LJ001-0095|These and similar founts, cast by the above firm and others,|These and similar founts, cast by the above firm and others,
94|LJ001-0096|"have now come into general use and are obviously a great improvement on the ordinary ""modern style"" in use in England, which is in fact the Bodoni type"|"have now come into general use and are obviously a great improvement on the ordinary ""modern style"" in use in England, which is in fact the Bodoni type"
95|LJ001-0097|"a little reduced in ugliness. The design of the letters of this modern ""old style"" leaves a good deal to be desired,"|"a little reduced in ugliness. The design of the letters of this modern ""old style"" leaves a good deal to be desired,"
96|LJ001-0098|and the whole effect is a little too gray, owing to the thinness of the letters.|and the whole effect is a little too gray, owing to the thinness of the letters.
97|LJ001-0099|It must be remembered, however, that most modern printing is done by machinery on soft paper, and not by the hand press,|It must be remembered, however, that most modern printing is done by machinery on soft paper, and not by the hand press,
98|LJ001-0100|and these somewhat wiry letters are suitable for the machine process, which would not do justice to letters of more generous design.|and these somewhat wiry letters are suitable for the machine process, which would not do justice to letters of more generous design.
99|LJ001-0101|It is discouraging to note that the improvement of the last fifty years is almost wholly confined to Great Britain.|It is discouraging to note that the improvement of the last fifty years is almost wholly confined to Great Britain.
100|LJ001-0102|Here and there a book is printed in France or Germany with some pretension to good taste,|Here and there a book is printed in France or Germany with some pretension to good taste,
101|LJ001-0103|but the general revival of the old forms has made no way in those countries.|but the general revival of the old forms has made no way in those countries.
102|LJ001-0104|Italy is contentedly stagnant.|Italy is contentedly stagnant.
103|LJ001-0105|America has produced a good many showy books, the typography, paper, and illustrations of which are, however, all wrong,|America has produced a good many showy books, the typography, paper, and illustrations of which are, however, all wrong,
104|LJ001-0106|oddity rather than rational beauty and meaning being apparently the thing sought for both in the letters and the illustrations.|oddity rather than rational beauty and meaning being apparently the thing sought for both in the letters and the illustrations.
105|LJ001-0107|To say a few words on the principles of design in typography:|To say a few words on the principles of design in typography:
106|LJ001-0108|it is obvious that legibility is the first thing to be aimed at in the forms of the letters;|it is obvious that legibility is the first thing to be aimed at in the forms of the letters;
107|LJ001-0109|this is best furthered by the avoidance of irrational swellings and spiky projections, and by the using of careful purity of line.|this is best furthered by the avoidance of irrational swellings and spiky projections, and by the using of careful purity of line.
108|LJ001-0110|Even the Caslon type when enlarged shows great shortcomings in this respect:|Even the Caslon type when enlarged shows great shortcomings in this respect:
109|LJ001-0111|the ends of many of the letters such as the t and e are hooked up in a vulgar and meaningless way,|the ends of many of the letters such as the t and e are hooked up in a vulgar and meaningless way,
110|LJ001-0112|instead of ending in the sharp and clear stroke of Jenson's letters;|instead of ending in the sharp and clear stroke of Jenson's letters;
111|LJ001-0113|there is a grossness in the upper finishings of letters like the c, the a, and so on,|there is a grossness in the upper finishings of letters like the c, the a, and so on,
112|LJ001-0114|an ugly pear-shaped swelling defacing the form of the letter:|an ugly pear-shaped swelling defacing the form of the letter:
113|LJ001-0115|in short, it happens to this craft, as to others, that the utilitarian practice, though it professes to avoid ornament,|in short, it happens to this craft, as to others, that the utilitarian practice, though it professes to avoid ornament,
114|LJ001-0116|still clings to a foolish, because misunderstood conventionality, deduced from what was once ornament, and is by no means useful;|still clings to a foolish, because misunderstood conventionality, deduced from what was once ornament, and is by no means useful;
115|LJ001-0117|which title can only be claimed by artistic practice, whether the art in it be conscious or unconscious.|which title can only be claimed by artistic practice, whether the art in it be conscious or unconscious.
116|LJ001-0118|In no characters is the contrast between the ugly and vulgar illegibility of the modern type|In no characters is the contrast between the ugly and vulgar illegibility of the modern type
117|LJ001-0119|and the elegance and legibility of the ancient more striking than in the Arabic numerals.|and the elegance and legibility of the ancient more striking than in the Arabic numerals.
118|LJ001-0120|In the old print each figure has its definite individuality, and one cannot be mistaken for the other;|In the old print each figure has its definite individuality, and one cannot be mistaken for the other;
119|LJ001-0121|in reading the modern figures the eyes must be strained before the reader can have any reasonable assurance|in reading the modern figures the eyes must be strained before the reader can have any reasonable assurance
120|LJ001-0122|that he has a 5, an 8, or a 3 before him, unless the press work is of the best:|that he has a five, an eight, or a three before him, unless the press work is of the best:
121|LJ001-0123|this is awkward if you have to read Bradshaw's Guide in a hurry.|this is awkward if you have to read Bradshaw's Guide in a hurry.
122|LJ001-0124|One of the differences between the fine type and the utilitarian must probably be put down to a misapprehension of a commercial necessity:|One of the differences between the fine type and the utilitarian must probably be put down to a misapprehension of a commercial necessity:
123|LJ001-0125|this is the narrowing of the modern letters.|this is the narrowing of the modern letters.
124|LJ001-0126|Most of Jenson's letters are designed within a square,|Most of Jenson's letters are designed within a square,
125|LJ001-0127|the modern letters are narrowed by a third or thereabout; but while this gain of space very much hampers the possibility of beauty of design,|the modern letters are narrowed by a third or thereabout; but while this gain of space very much hampers the possibility of beauty of design,
126|LJ001-0128|it is not a real gain, for the modern printer throws the gain away by putting inordinately wide spaces between his lines, which, probably,|it is not a real gain, for the modern printer throws the gain away by putting inordinately wide spaces between his lines, which, probably,
127|LJ001-0129|the lateral compression of his letters renders necessary.|the lateral compression of his letters renders necessary.
128|LJ001-0130|Commercialism again compels the use of type too small in size to be comfortable reading:|Commercialism again compels the use of type too small in size to be comfortable reading:
129|LJ001-0131|"the size known as ""Long primer"" ought to be the smallest size used in a book meant to be read."|"the size known as ""Long primer"" ought to be the smallest size used in a book meant to be read."
130|LJ001-0132|"Here, again, if the practice of ""leading"" were retrenched larger type could be used without enhancing the price of a book."|"Here, again, if the practice of ""leading"" were retrenched larger type could be used without enhancing the price of a book."
131|LJ001-0133|"One very important matter in ""setting up"" for fine printing is the ""spacing,"" that is, the lateral distance of words from one another."|"One very important matter in ""setting up"" for fine printing is the ""spacing,"" that is, the lateral distance of words from one another."
132|LJ001-0134|In good printing the spaces between the words should be as near as possible equal|In good printing the spaces between the words should be as near as possible equal
133|LJ001-0135|it is impossible that they should be quite equal except in lines of poetry|it is impossible that they should be quite equal except in lines of poetry
134|LJ001-0136|modern printers understand this, but it is only practiced in the very best establishments.|modern printers understand this, but it is only practiced in the very best establishments.
135|LJ001-0137|But another point which they should attend to they almost always disregard;|But another point which they should attend to they almost always disregard;
136|LJ001-0138|"this is the tendency to the formation of ugly meandering white lines or ""rivers"" in the page"|"this is the tendency to the formation of ugly meandering white lines or ""rivers"" in the page"
137|LJ001-0139|a blemish which can be nearly, though not wholly, avoided by care and forethought|a blemish which can be nearly, though not wholly, avoided by care and forethought
138|LJ001-0140|"the desirable thing being ""the breaking of the line"" as in bonding masonry or brickwork"|"the desirable thing being ""the breaking of the line"" as in bonding masonry or brickwork"
139|LJ001-0141|The general solidity of a page is much to be sought for|The general solidity of a page is much to be sought for
140|LJ001-0142|"modern printers generally overdo the ""whites"" in the spacing, a defect probably forced on them by the characterless quality of the letters."|"modern printers generally overdo the ""whites"" in the spacing, a defect probably forced on them by the characterless quality of the letters."
141|LJ001-0143|For where these are boldly and carefully designed, and each letter is thoroughly individual in form,|For where these are boldly and carefully designed, and each letter is thoroughly individual in form,
142|LJ001-0144|the words may be set much closer together, without loss of clearness.|the words may be set much closer together, without loss of clearness.
143|LJ001-0145|"No definite rules, however, except the avoidance of ""rivers"" and excess of white, can be given for the spacing,"|"No definite rules, however, except the avoidance of ""rivers"" and excess of white, can be given for the spacing,"
144|LJ001-0146|which requires the constant exercise of judgment and taste on the part of the printer.|which requires the constant exercise of judgment and taste on the part of the printer.
145|LJ001-0147|The position of the page on the paper should be considered if the book is to have a satisfactory look.|The position of the page on the paper should be considered if the book is to have a satisfactory look.
146|LJ001-0148|Here once more the almost invariable modern practice is in opposition to a natural sense of proportion.|Here once more the almost invariable modern practice is in opposition to a natural sense of proportion.
147|LJ001-0149|From the time when books first took their present shape till the end of the sixteenth century, or indeed later,|From the time when books first took their present shape till the end of the sixteenth century, or indeed later,
148|LJ001-0150|the page so lay on the paper that there was more space allowed to the bottom and fore margin than to the top and back of the paper,|the page so lay on the paper that there was more space allowed to the bottom and fore margin than to the top and back of the paper,
149|LJ001-0151|the unit of the book being looked on as the two pages forming an opening.|the unit of the book being looked on as the two pages forming an opening.
